year,sp500_return,home_appreciation,rent_inflation
1976,0.2384,0.0518,0.05
1977,-0.0718,0.0865,0.062
1978,0.0656,0.1485,0.072
1979,0.1844,0.161,0.081
1980,0.3242,0.1283,0.091
1981,-0.0491,0.0719,0.099
1982,0.2155,0.0484,0.074
1983,0.2256,0.0084,0.052
1984,0.0627,0.047,0.049
1985,0.3173,0.0473,0.052
1986,0.1867,0.0775,0.046
1987,0.0525,0.0962,0.041
1988,0.1661,0.0759,0.037
1989,0.3169,0.0733,0.038
1990,-0.031,0.0394,0.038
1991,0.3047,-0.0094,0.037
1992,0.0762,0.0218,0.029
1993,0.1008,0.0197,0.026
1994,0.0132,0.0335,0.026
1995,0.3758,0.0247,0.028
1996,0.2296,0.0309,0.032
1997,0.3336,0.0247,0.031
1998,0.2858,0.0361,0.031
1999,0.2104,0.061,0.029
2000,-0.091,0.067,0.036
2001,-0.1189,0.0654,0.042
2002,-0.221,0.0653,0.037
2003,0.2868,0.0773,0.028
2004,0.1088,0.079,0.026
2005,0.0491,0.1019,0.029
2006,0.1579,0.097,0.042
2007,0.0549,0.0194,0.043
2008,-0.37,-0.0464,0.036
2009,0.2646,-0.0904,0.018
2010,0.1506,-0.028,0.006
2011,0.0211,-0.0468,0.019
2012,0.16,-0.0152,0.025
2013,0.3239,0.0624,0.029
2014,0.1369,0.0638,0.03
2015,0.0138,0.0453,0.036
2016,0.1196,0.0572,0.038
2017,0.2183,0.0571,0.037
2018,-0.0438,0.0694,0.035
2019,0.3149,0.052,0.036
2020,0.184,0.0596,0.02
2021,0.2871,0.1233,0.018
2022,-0.1811,0.1783,0.059
2023,0.2629,0.0499,0.083
2024,0.2502,0.0651,0.05
2025,0.1788,0.0524,0.04
